T:575184,AX:-0.46,AY:-9.08,AZ:11.95,GX:241.81,GY:87.31,GZ:253.98
T:575194,AX:-0.25,AY:-9.88,AZ:10.79,GX:176.16,GY:64.15,GZ:202.56
T:575204,AX:0.60,AY:-7.59,AZ:9.69,GX:138.06,GY:53.26,GZ:163.03
T:575214,AX:0.55,AY:-6.15,AZ:10.56,GX:130.29,GY:56.87,GZ:158.06
T:575224,AX:-0.62,AY:-8.08,AZ:13.35,GX:118.70,GY:45.84,GZ:148.15
T:575234,AX:-0.04,AY:-8.12,AZ:14.26,GX:98.97,GY:4.96,GZ:109.09
T:575244,AX:0.45,AY:-4.93,AZ:9.50,GX:83.67,GY:-14.50,GZ:86.00
T:575254,AX:1.13,AY:-3.46,AZ:6.92,GX:60.87,GY:3.28,GZ:68.51
T:575264,AX:2.22,AY:-3.60,AZ:9.25,GX:-18.18,GY:32.62,GZ:68.58
T:575274,AX:0.42,AY:-0.21,AZ:13.13,GX:15.58,GY:-2.51,GZ:33.34
T:575284,AX:-0.52,AY:-6.24,AZ:8.65,GX:-23.05,GY:-25.31,GZ:34.58
T:575294,AX:-0.80,AY:-7.33,AZ:8.28,GX:-45.03,GY:7.98,GZ:-30.99
T:575304,AX:0.33,AY:-1.33,AZ:12.12,GX:-44.10,GY:3.09,GZ:-55.74
T:575314,AX:0.80,AY:1.24,AZ:10.19,GX:-20.09,GY:-17.70,GZ:-14.90
T:575324,AX:0.93,AY:-2.24,AZ:8.88,GX:17.08,GY:-9.09,GZ:20.45
T:575334,AX:1.39,AY:-4.68,AZ:12.20,GX:-10.09,GY:-8.50,GZ:17.60
T:575344,AX:1.24,AY:0.17,AZ:13.14,GX:-16.39,GY:-57.55,GZ:9.34
T:575354,AX:1.33,AY:-0.04,AZ:7.51,GX:-12.22,GY:-60.76,GZ:66.00
T:575364,AX:0.24,AY:-2.30,AZ:10.17,GX:-24.48,GY:-43.05,GZ:78.15
T:575374,AX:-0.29,AY:-3.28,AZ:11.22,GX:-31.77,GY:-52.44,GZ:61.81
T:575384,AX:0.09,AY:-1.84,AZ:9.43,GX:-27.26,GY:-57.61,GZ:58.07
T:575394,AX:1.20,AY:-1.82,AZ:9.69,GX:-16.41,GY:-44.97,GZ:64.77
T:575404,AX:0.95,AY:-1.55,AZ:10.42,GX:-18.56,GY:-58.07,GZ:79.81
T:575414,AX:-0.12,AY:-4.25,AZ:8.43,GX:17.93,GY:-55.43,GZ:91.06
